projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0101-2024;2024;2;POSITIV;0;;;;;;;;Phase T: -9275.0 EUR (100.0%);;Bierau + JA (B=13 C=4)
0102-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0102-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0103-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0103-2024;2024;2;UNBEKANNT;0;;;;;;Schreinerei Lothar Merte: 1504 EUR (24G0817);;;;Caspari + NEIN (B=0 C=30)
0103-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=100)
0104-2023;2023;3;UNBEKANNT;2;VERDACHT;FALL-015;Caspari, MKG;Phase W: Diff 31.6% (A=17234.0 R=22685.0);;MKG Der Dienstleister: 7140 EUR (23-00099);;;;Caspari + NEIN (B=0 C=10)
0104-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0104-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -2953.0 EUR (100.0%);;Bierau + JA (B=4 C=10)
0105-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0105-2024;2024;3;POSITIV;3;HYPOTHESE|VERDACHT;FALL-014|FALL-015;MKG|RS Bau;Phase W: Diff 97.7% (A=8151.0 R=184.0);;;;Phase W: -7967.0 EUR (97.7%);;Bierau + JA (B=28 C=22)
0105-2025;2025;2;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 2169 EUR (20250607);;;;Caspari + NEIN (B=0 C=100)
0106-2023;2023;1;POSITIV;0;;;;;;;;Phase W: -3440.0 EUR (100.0%);;
0106-2024;2024;2;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 5098 EUR (202436910);;;;Caspari + NEIN (B=0 C=40)
0106-2025;2025;3;POSITIV;4;GESICHERT;FALL-011;Bierau|Bierau, Ducree;;;;;Phase W: -6438.0 EUR (100.0%);2 Akteure: Bierau, Ducree,Bierau;Caspari + NEIN (B=0 C=100)
0107-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0107-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -1111.0 EUR (100.0%);;Bierau + JA (B=12 C=16)
0108-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 26.5% (A=5661.0 R=4158.0);;;;Phase T: -1503.0 EUR (26.5%);;Caspari + NEIN (B=0 C=20)
0108-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=90)
0109-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0109-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 84.8% (A=3031.0 R=5601.0);;Öko-Bauzentrum Junker GmbH & Co. KG: 3986 EUR (R2403021);;;;Caspari + NEIN (B=0 C=90)
0109-2025;2025;2;UNBEKANNT;4;GESICHERT;FALL-011|FALL-014;Bierau|RS Bau;;;;;;2 Akteure: Bierau,RS Bau;Bierau + JA (B=18 C=30)
0110-2024;2024;2;UNBEKANNT;2;GESICHERT|HYPOTHESE;FALL-015;Caspari|MKG;;;MKG Der Dienstleister: 11900 EUR (R-24-276);;;;Caspari + NEIN (B=0 C=60)
0110-2025;2025;2;UNBEKANNT;0;;;;;;N&N Bau GbR: 4089 EUR (RE66925);;;;Caspari + NEIN (B=0 C=40)
0111-2025;2025;2;POSITIV;0;;;;Phase W: Diff 60.7% (A=825.0 R=325.0);;;;;;Caspari + NEIN (B=0 C=90)
0112-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 32.5% (A=1684.0 R=1136.0);;;;;;Caspari + NEIN (B=0 C=20)
0112-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0113-2024;2024;4;POSITIV;0;;;;Phase T: Diff 85.2% (A=8590.0 R=1274.0);;N&N Bau GbR: 8309 EUR (RE61024);;Phase T: -7316.0 EUR (85.2%);;Caspari + NEIN (B=0 C=100)
0113-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 42.5% (A=944.0 R=1345.0);;;;;;Caspari + NEIN (B=0 C=90)
0114-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0114-2024;2024;3;POSITIV;0;;;;Phase T: Diff 57.5% (A=1247.0 R=530.0);;;;Phase W: -4404.0 EUR (100.0%);;Bierau + JA (B=13 C=8)
0115-2023;2023;4;POSITIV;0;;;;Phase T: Diff 63.5% (A=17784.0 R=6497.0);;Debus Energie- u. Gebäudetechnik GmbH & Co. KG: 2193 EUR (202388);;Phase T: -11287.0 EUR (63.5%);;Caspari + NEIN (B=0 C=10)
0115-2025;2025;2;UNBEKANNT;0;;;;;;Hengst Handwerk GmbH: 4521 EUR (202541485);;;;Caspari + NEIN (B=0 C=100)
0116-2023;2023;2;UNBEKANNT;0;;;;;;Firma Bajramaj: 13015 EUR (23080044);;;;Caspari + NEIN (B=0 C=30)
0116-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0117-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0117-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0117-2025;2025;2;UNBEKANNT;2;VERDACHT;FALL-011;Gade Gruppe, Farbklecks;;;;;Phase T: -3923.0 EUR (1.0%);;Bierau + NEIN (B=19 C=0)
0118-2023;2023;1;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 9315 EUR (20231008);;;;
0118-2024;2024;1;POSITIV;2;HYPOTHESE|VERDACHT;FALL-011|FALL-018;Bierau, Caspari|Zippel, Bierau, Caspari;;;;;Phase W: -8065.0 EUR (100.0%);;
0118-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=5 C=7)
0119-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0120-2023;2023;1;UNBEKANNT;0;;;;Phase W: Diff 41.2% (A=2972.0 R=4196.0);;;;;;
0120-2024;2024;3;POSITIV;3;HYPOTHESE|VERDACHT;FALL-011|FALL-018|OPERATIV;Bierau, Caspari|Caspari|Zippel, Bierau, Caspari;Phase T: Diff 59.8% (A=1675.0 R=674.0);;;;Phase W: -11832.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0120-2025;2025;3;UNBEKANNT;2;VERDACHT;FALL-011;Bierau;Phase T: Diff 107.0% (A=1778.0 R=3679.0);;Hengst Handwerk GmbH: 9582 EUR (202541481);;;;Bierau + JA (B=49 C=37)
0121-2023;2023;1;UNBEKANNT;0;;;;;;MKG Der Dienstleister: 5545 EUR (R-23-141);;;;
0122-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0122-2024;2024;1;UNBEKANNT;1;HYPOTHESE;FALL-014;Menkal;;;;;;;Caspari + NEIN (B=0 C=80)
0122-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0123-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0123-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 86.5% (A=2787.0 R=5196.0);;TeamFaktor NW GmbH: 3377 EUR (RE24161);;;;Caspari + NEIN (B=0 C=30)
0123-2025;2025;2;POSITIV;0;;;;Phase W: Diff 94.3% (A=7892.0 R=453.0);;;;Phase W: -7439.0 EUR (94.3%);;
0124-2024;2024;4;POSITIV;1;HYPOTHESE;OPERATIV;Caspari;Phase W: Diff 61.1% (A=3239.0 R=1261.0);;Hengst Handwerk GmbH: 1364 EUR (202438114);;Phase W: -1979.0 EUR (61.1%);;Caspari + NEIN (B=0 C=50)
0124-2025;2025;4;POSITIV;4;VERDACHT;FALL-015|FALL-018;Caspari|Zippel;Phase W: Diff 22.8% (A=10610.0 R=13030.0);;Gerd Zippel: 5950 EUR (2509123);;;2 Akteure: Caspari,Zippel;Caspari + NEIN (B=0 C=100)
0125-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0125-2024;2024;4;POSITIV;0;;;;Phase T: Diff 41.3% (A=6855.0 R=4021.0);;Firma Bajramaj: 2387 EUR (24110009);;Phase W: -5054.0 EUR (100.0%);;Caspari + NEIN (B=0 C=100)
0125-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0126-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0126-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0127-2023;2023;1;POSITIV;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0127-2025;2025;3;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;Bierau, Caspari|Zippel|Zippel, Bierau, Caspari;;;;;Phase W: -14230.0 EUR (100.0%);2 Akteure: Zippel,Bierau, Caspari;Bierau + JA (B=18 C=7)
0128-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0128-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0128-2025;2025;1;POSITIV;2;VERDACHT;FALL-018;Zippel;;;;;;;Caspari + NEIN (B=0 C=90)
0129-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 28.4% (A=10305.0 R=13228.0);;Hengst Malerwerkstätten GmbH: 11594 EUR (202437757);;;;Caspari + NEIN (B=0 C=30)
0130-2024;2024;2;UNBEKANNT;0;;;;Phase W: Diff 49.6% (A=1421.0 R=717.0);;;;;;Caspari + NEIN (B=0 C=10)
0130-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0131-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0131-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0133-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=70)
0133-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0134-2023;2023;2;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 11900 EUR (20231123);;;;Caspari + NEIN (B=0 C=60)
0134-2024;2024;2;UNBEKANNT;0;;;;Phase W: Diff 58.2% (A=7477.0 R=11827.0);;;;;;Caspari + NEIN (B=0 C=20)
0134-2025;2025;4;NEGATIV;0;;;;Phase T: Diff 23.1% (A=12126.0 R=9328.0);;Firma Bajramaj: 8054 EUR (25080027);;Phase T: -2798.0 EUR (23.1%);;Caspari + NEIN (B=0 C=60)
0135-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 33.3% (A=1262.0 R=842.0);;;;;;Caspari + NEIN (B=0 C=20)
0135-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1482.0 EUR (100.0%);;
0135-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=80)
0136-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0137-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0137-2024;2024;3;POSITIV;0;;;;Phase W: Diff 93.1% (A=11399.0 R=790.0);;;;Phase W: -10609.0 EUR (93.1%);;Caspari + NEIN (B=0 C=50)
0138-2023;2023;2;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 5183 EUR (202436111);;;;Caspari + NEIN (B=0 C=30)
0138-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 401.3% (A=518.0 R=2595.0);;;;;;Caspari + NEIN (B=0 C=90)
0139-2023;2023;1;POSITIV;0;;;;;;;;Phase W: -7913.0 EUR (100.0%);;
0139-2024;2024;2;UNBEKANNT;1;HYPOTHESE;FALL-014;Menkal;Phase W: Diff 957.0% (A=518.0 R=5480.0);;;;;;Caspari + NEIN (B=0 C=90)
0139-2025;2025;4;UNBEKANNT;0;;;;Phase T: Diff 52.8% (A=3222.0 R=1519.0);;N&N Bau GbR: 2643 EUR (RE69725);;Phase T: -1703.0 EUR (52.8%);;Caspari + NEIN (B=0 C=100)
0140-2023;2023;3;POSITIV;3;GESICHERT;FALL-015;Bierau|Caspari, MKG;;;MKG Der Dienstleister: 1846 EUR (R-24-218);;Phase W: -5845.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0140-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0141-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0142-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0142-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0142-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 116.3% (A=759.0 R=1641.0);;;;;;Caspari + NEIN (B=0 C=60)
0143-2023;2023;0;POSITIV;0;;;;;;;;;;
0143-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 79.2% (A=400.0 R=717.0);;;;;;Caspari + NEIN (B=0 C=30)
0143-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0144-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0144-2025;2025;2;UNBEKANNT;4;VERDACHT;FALL-011|UEBERGREIFEND;Bierau|Schulte (Expira);;;;;Phase T: -1317.0 EUR (100.0%);;Caspari + NEIN (B=0 C=20)
0145-2023;2023;3;POSITIV;2;GESICHERT;FALL-015;Caspari, Gerke K., Gerke M.;;;MKG Der Dienstleister: 2481 EUR (R-23-119);;Phase W: -2920.0 EUR (19.5%);;Caspari + NEIN (B=0 C=100)
0145-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0145-2025;2025;2;UNBEKANNT;0;;;;;;Hengst Handwerk GmbH: 8215 EUR (202541227);;;;Caspari + NEIN (B=0 C=100)
0146-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 35.9% (A=2623.0 R=1681.0);;;;;;
0147-2024;2024;2;UNBEKANNT;0;;;;Phase W: Diff 175.6% (A=704.0 R=1940.0);;;;;;Caspari + NEIN (B=0 C=20)
0147-2025;2025;3;POSITIV;4;GESICHERT;FALL-011;Bierau|Ducree;;;;;Phase W: -8283.0 EUR (100.0%);2 Akteure: Ducree,Bierau;Bierau + JA (B=21 C=16)
0148-2023;2023;4;POSITIV;0;;;;Phase W: Diff 92.3% (A=14635.0 R=1129.0);;Schreinerei Lothar Merte: 1221 EUR (24G0815);;Phase W: -13506.0 EUR (92.3%);;Caspari + NEIN (B=0 C=20)
0148-2024;2024;2;POSITIV;0;;;;;;;;Phase W: -5689.0 EUR (100.0%);;Bierau + JA (B=30 C=60)
0148-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0150-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0150-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0151-2023;2023;1;UNBEKANNT;0;;;;Phase T: Diff 35.4% (A=1334.0 R=862.0);;;;;;
0151-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 65.4% (A=520.0 R=180.0);;;;;;Bierau + JA (B=8 C=18)
0151-2025;2025;1;POSITIV;0;;;;;;;;Phase W: -2791.0 EUR (100.0%);;
0152-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0152-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0153-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0153-2024;2024;3;POSITIV;1;HYPOTHESE;FALL-014;Menkal;Phase W: Diff 69.9% (A=6236.0 R=1876.0);;;;Phase W: -4360.0 EUR (69.9%);;Caspari + NEIN (B=0 C=40)
0153-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0154-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0154-2024;2024;4;POSITIV;0;;;;Phase T: Diff 310.5% (A=1222.0 R=5017.0);;Firma Bajramaj: 3606 EUR (24100056);;Phase W: -3215.0 EUR (100.0%);;Caspari + NEIN (B=0 C=90)
0154-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=70)
0155-2023;2023;2;UNBEKANNT;0;;;;Phase W: Diff 33.9% (A=2775.0 R=1836.0);;;;;;Caspari + NEIN (B=0 C=40)
0155-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0155-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=5 C=12)
0156-2023;2023;3;POSITIV;1;HYPOTHESE;FALL-014;Menkal;Phase T: Diff 77.6% (A=5125.0 R=9103.0);;Hengst Handwerk GmbH: 15470 EUR (202438223);;;;Caspari + NEIN (B=0 C=30)
0156-2024;2024;2;UNBEKANNT;1;GESICHERT;FALL-015;Caspari;;;;;Phase S: -3790.0 EUR (1.0%);;Bierau + JA (B=9 C=10)
0156-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0157-2024;2024;3;NEGATIV;0;;;;Phase T: Diff 54.5% (A=1100.0 R=500.0);;;;Phase W: -1740.0 EUR (100.0%);;Caspari + NEIN (B=0 C=10)
0157-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0158-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 60.7% (A=8916.0 R=3506.0);;;;Phase T: -5411.0 EUR (60.7%);;Caspari + NEIN (B=0 C=20)
0159-2023;2023;3;POSITIV;2;VERDACHT;FALL-018;Zippel;Phase T: Diff 112.2% (A=1746.0 R=3705.0);;OZ Immobiliendienste GmbH: 3089 EUR (230627);;;;Caspari + NEIN (B=0 C=10)
0159-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=40 C=40)
0159-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0160-2023;2023;1;UNBEKANNT;0;;;;Phase T: Diff 34.8% (A=2802.0 R=1826.0);;;;;;
0160-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0160-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0161-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0161-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 78.1% (A=1500.0 R=2671.0);;Schreinerei Lothar Merte: 1142 EUR (25G0010);;;;Caspari + NEIN (B=0 C=90)
0162-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 87.2% (A=2134.0 R=274.0);;;;Phase T: -1860.0 EUR (87.2%);;
0162-2024;2024;1;UNBEKANNT;1;HYPOTHESE;FALL-014;Menkal;;;;;;;Caspari + NEIN (B=0 C=50)
0162-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -1861.0 EUR (1.0%);;Bierau + JA (B=4 C=4)
0163-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0164-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 63.7% (A=1947.0 R=706.0);;;;Phase T: -1241.0 EUR (63.7%);;Caspari + NEIN (B=0 C=10)
0164-2024;2024;4;POSITIV;3;GESICHERT;FALL-011|FALL-014;Bierau, RS Bau|RS Bau;Phase W: Diff 534.3% (A=1247.0 R=7907.0);;RS Bau und Demontage Service: 8554 EUR (20240901);;Phase T: -2557.0 EUR (1.0%);;Bierau + JA (B=39 C=16)
0164-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0165-2024;2024;3;POSITIV;2;VERDACHT;FALL-018;Zippel;Phase W: Diff 25.2% (A=13181.0 R=16509.0);;Gerd Zippel: 17859 EUR (2508134);;;;Caspari + NEIN (B=0 C=50)
0166-2023;2023;3;UNBEKANNT;4;GESICHERT|VERDACHT;FALL-011;Bierau;Phase T: Diff 88.0% (A=4015.0 R=7549.0);;Firma Bajramaj: 3324 EUR (23090045);;;;Caspari + NEIN (B=0 C=60)
0166-2024;2024;3;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;Bierau, Caspari|Caspari, Maage|Zippel|Zippel, Bierau, Caspari;;;;;Phase W: -10016.0 EUR (100.0%);2 Akteure: Zippel,Caspari, Maage;Caspari + NEIN (B=0 C=50)
0166-2025;2025;1;UNBEKANNT;0;;;;Phase W: Diff 52.8% (A=2212.0 R=3381.0);;;;;;
0167-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0167-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0167-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0168-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0168-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 77.4% (A=857.0 R=194.0);;;;;;Caspari + NEIN (B=0 C=20)
0169-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 30.0% (A=1086.0 R=1411.0);;;;;;Caspari + NEIN (B=0 C=30)
0169-2024;2024;3;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;Phase W: Diff 116.7% (A=3548.0 R=7689.0);;RS Bau und Demontage Service: 3695 EUR (20241201);;;;Caspari + NEIN (B=0 C=100)
0169-2025;2025;2;POSITIV;1;GESICHERT;FALL-017;Bierau, Caspari;;;N&N Bau GbR: 5320 EUR (RE69825);;;;Caspari + NEIN (B=0 C=40)
0170-2023;2023;3;POSITIV;2;GESICHERT;FALL-018;Zippel;;;Gerd Zippel: 16660 EUR (2311105);;Phase T: -1003.0 EUR (12.5%);;Caspari + NEIN (B=0 C=20)
0170-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0171-2023;2023;3;POSITIV;0;;;;Phase W: Diff 21.4% (A=16759.0 R=20352.0);;Alpaslan Trockenbau: 7500 EUR (RE59124);;;;Caspari + NEIN (B=0 C=70)
0171-2024;2024;1;POSITIV;2;GESICHERT;FALL-011;Zippel;;;;;;;Caspari + NEIN (B=0 C=50)
0171-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0172-2023;2023;1;UNBEKANNT;0;;;;;;;;Phase T: -1911.0 EUR (100.0%);;
0172-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0173-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 36.5% (A=1135.0 R=721.0);;;;;;Caspari + NEIN (B=0 C=10)
0173-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 39.4% (A=1562.0 R=946.0);;;;;;Bierau + JA (B=7 C=10)
0174-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0174-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0175-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0175-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0175-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0176-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0176-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0176-2025;2025;1;UNBEKANNT;2;GESICHERT;FALL-014;Bierau, Caspari;;;;;Phase T: -2751.0 EUR (100.0%);;
0177-2023;2023;3;POSITIV;0;;;;;;Firma Bajramaj: 8404 EUR (24010009);;Phase T: -1111.0 EUR (9.1%);;Caspari + NEIN (B=0 C=70)
0177-2024;2024;2;UNBEKANNT;0;;;;;;Schreinerei Lothar Merte: 2110 EUR (24G0830);;;;Caspari + NEIN (B=0 C=40)
0177-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -3000.0 EUR (1.0%);;Caspari + NEIN (B=0 C=22)
0178-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 23.1% (A=1384.0 R=1065.0);;;;;;Caspari + NEIN (B=0 C=40)
0178-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -4065.0 EUR (100.0%);;Caspari + NEIN (B=0 C=60)
0178-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 111.9% (A=1851.0 R=3921.0);;;;;;
0179-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0179-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 139.8% (A=1210.0 R=2901.0);;;;;;Caspari + NEIN (B=0 C=100)
0179-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -1735.0 EUR (1.0%);;
0180-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 92.1% (A=1762.0 R=140.0);;;;Phase T: -1622.0 EUR (92.1%);;Caspari + NEIN (B=0 C=10)
0180-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=70)
0180-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0181-2023;2023;4;UNBEKANNT;0;;;;Phase W: Diff 36.6% (A=2820.0 R=1788.0);;Hengst Malerwerkstätten GmbH: 1935 EUR (202333843);;Phase W: -1031.0 EUR (36.6%);;Caspari + NEIN (B=0 C=20)
0181-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=80)
0182-2024;2024;2;UNBEKANNT;0;;;;Phase W: Diff 30.3% (A=3802.0 R=4953.0);;Öko-Bauzentrum Junker GmbH & Co. KG: 5359 EUR (R2402672);;;;
0182-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0183-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0184-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0184-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -3492.0 EUR (100.0%);;
0185-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0185-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0186-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0186-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0186-2025;2025;2;NEGATIV;0;;;;Phase W: Diff 46.0% (A=2200.0 R=1188.0);;;;Phase W: -1012.0 EUR (46.0%);;
0187-2024;2024;2;POSITIV;0;;;;Phase W: Diff 64.8% (A=689.0 R=242.0);;;;;;Caspari + NEIN (B=0 C=60)
0187-2025;2025;3;POSITIV;0;;;;Phase W: Diff 74.8% (A=31405.0 R=7914.0);;Firma Bajramaj: 4406 EUR (25110001);;Phase W: -23491.0 EUR (74.8%);;
0188-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 135.1% (A=1699.0 R=3994.0);;Schreinerei Lothar Merte: 2230 EUR (23G0886);;;;Caspari + NEIN (B=0 C=20)
0189-2023;2023;3;UNBEKANNT;2;VERDACHT;FALL-015;Caspari, MKG;Phase W: Diff 67.4% (A=13174.0 R=22052.0);;Firma Bajramaj: 2697 EUR (23110042);;;;Caspari + NEIN (B=0 C=10)
0189-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
