projekt_nr;signal_count;befunde_count;bewertungsstufen;faelle;gt_kategorie;BEN-01;D-02;D-03;D-04;D-05;D-08;F-01;F-03;N-06;N-08;P-07;P-08
0081-2024;0;0;;;;;;;;;;;;;;;
0082;0;0;;;;;;;;;;;;;;;
0083-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 4+1)
0084-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 11+5)
0085;0;0;;;;;;;;;;;;;;;
0086;0;0;;;;;;;;;;;;;;;
0087;0;0;;;;;;;;;;;;;;;
0088-2025;4;9;VERDACHT;FALL-014,FALL-011,FALL-018;;;Diff 404.1% (A=1268.0 R=6393.0);;;RE 25100033: 2258 EUR;;;;4 Akteure: Bierau, OTS, Schulz,Zippel, Heck,Bierau,Zippel;;;Bierau + JA (BC-Score: 11+30)
0089-2025;0;0;;;;;;;;;;;;;;;
0091;0;0;;;;;;;;;;;;;;;
0092;0;0;;;;;;;;;;;;;;;
0093-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 5+5)
0094;0;0;;;;;;;;;;;;;;;
0095-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 2+10)
0096-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 10+25)
0097;0;0;;;;;;;;;;;;;;;
0098;0;0;;;;;;;;;;;;;;;
0099;0;0;;;;;;;;;;;;;;;
0100;0;0;;;;;;;;;;;;;;;
0101-2024;2;0;;;;;;;;;;Phase T: Diff -9275.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 13+4)
0102;0;0;;;;;;;;;;;;;;;
0103;0;0;;;;;;;;;;;;;;;
0104-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 4+10)
0105-2024;3;1;VERDACHT;FALL-014;;;Diff 97.7% (A=8151.0 R=184.0);;;;;Phase W: Diff -7967.0 EUR (97.7%);;;;;Bierau + JA (BC-Score: 28+22)
0106;0;0;;;;;;;;;;;;;;;
0107-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 12+16)
0108;0;0;;;;;;;;;;;;;;;
0109-2025;2;2;GESICHERT;FALL-011,FALL-014;;;;;;;;;;2 Akteure: Bierau,RS Bau;;;Bierau + JA (BC-Score: 18+30)
0111;0;0;;;;;;;;;;;;;;;
0112;0;0;;;;;;;;;;;;;;;
0113;0;0;;;;;;;;;;;;;;;
0114-2024;2;0;;;;;;;;;;Phase W: Diff -4404.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 13+8)
0115;0;0;;;;;;;;;;;;;;;
0116;0;0;;;;;;;;;;;;;;;
0117-2025;1;1;VERDACHT;FALL-011;;;;;;;;;;;;;Bierau + NEIN (BC-Score: 19+0)
0118-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 5+7)
0119;0;0;;;;;;;;;;;;;;;
0120-2025;2;1;VERDACHT;FALL-011;;;;;;RE 202541481: 9582 EUR;;;;;;;Bierau + JA (BC-Score: 49+37)
0121;0;0;;;;;;;;;;;;;;;
0122;0;0;;;;;;;;;;;;;;;
0123;0;0;;;;;;;;;;;;;;;
0124;0;0;;;;;;;;;;;;;;;
0125;0;0;;;;;;;;;;;;;;;
0126;0;0;;;;;;;;;;;;;;;
0127-2025;3;2;GESICHERT;FALL-018,FALL-011;;;;;;;;Phase W: Diff -14230.0 EUR (100.0%);;2 Akteure: Zippel,Bierau, Caspari;;;Bierau + JA (BC-Score: 18+7)
0128;0;0;;;;;;;;;;;;;;;
0129;0;0;;;;;;;;;;;;;;;
0130;0;0;;;;;;;;;;;;;;;
0131;0;0;;;;;;;;;;;;;;;
0132;0;0;;;;;;;;;;;;;;;
0133;0;0;;;;;;;;;;;;;;;
0134;0;0;;;;;;;;;;;;;;;
0135;0;0;;;;;;;;;;;;;;;
0136;0;0;;;;;;;;;;;;;;;
0137;0;0;;;;;;;;;;;;;;;
0138;0;0;;;;;;;;;;;;;;;
0139;0;0;;;;;;;;;;;;;;;
0140;0;0;;;;;;;;;;;;;;;
0141;0;0;;;;;;;;;;;;;;;
0142;0;0;;;;;;;;;;;;;;;
0143;0;0;;;;;;;;;;;;;;;
0144;0;0;;;;;;;;;;;;;;;
0145;0;0;;;;;;;;;;;;;;;
0146;0;0;;;;;;;;;;;;;;;
0147-2025;3;2;GESICHERT;FALL-011;;;;;;;;Phase W: Diff -8283.0 EUR (100.0%);;2 Akteure: Ducree,Bierau;;;Bierau + JA (BC-Score: 21+16)
0148;0;0;;;;;;;;;;;;;;;
0149;0;0;;;;;;;;;;;;;;;
0150;0;0;;;;;;;;;;;;;;;
0151-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 8+18)
0152;0;0;;;;;;;;;;;;;;;
0153;0;0;;;;;;;;;;;;;;;
0154;0;0;;;;;;;;;;;;;;;
0155-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 5+12)
0156-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 9+10)
0157;0;0;;;;;;;;;;;;;;;
0158;0;0;;;;;;;;;;;;;;;
0159;0;0;;;;;;;;;;;;;;;
