projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0113-2024;2024;3;4;POSITIV;0;;;Phase T: Diff 85.2%% (A=8590.0 R=1274.0);;N&N Bau GbR: 8309 EUR;;;T-Phase: -7316.0 EUR (85.2%%);;Caspari solo C=100 beteil=HOCH
0113-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=90 beteil=HOCH
0114-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0114-2024;2024;3;3;POSITIV;0;;;Phase T: Diff 57.5%% (A=1247.0 R=530.0);;;;W-Phase: -4404.0 EUR (100.0%%);;Bierau + Tandem (B=13 C=8);
0115-2023;2023;2;3;POSITIV;0;;;Phase T: Diff 63.5%% (A=17784.0 R=6497.0);;Debus Energie- u. Gebäudetechnik GmbH & Co. KG: 2193 EUR;;;T-Phase: -11287.0 EUR (63.5%%);;
0115-2025;2025;2;2;UNBEKANNT;0;;;;;Hengst Handwerk GmbH: 4521 EUR;;;;;Caspari solo C=100 beteil=HOCH
0116-2023;2023;1;1;UNBEKANNT;0;;;;;Firma Bajramaj: 13015 EUR;;;;;
0116-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0117-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0117-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0117-2025;2025;0;1;UNBEKANNT;2;VERDACHT;FALL-011;;;;;;T-Phase: -3923.0 EUR (1.0%%);;
0118-2023;2023;1;1;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 9315 EUR;;;;;
0118-2024;2024;1;1;POSITIV;2;HYPOTHESE|VERDACHT;FALL-011|FALL-018;;;;;W-Phase: -8065.0 EUR (100.0%%);;;
0118-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=5 C=7);
0119-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0120-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0120-2024;2024;2;3;POSITIV;3;HYPOTHESE|VERDACHT;FALL-011|FALL-018|OPERATIV;Phase T: Diff 59.8%% (A=1675.0 R=674.0);;;;W-Phase: -11832.0 EUR (100.0%%);T-Phase: -1002.0 EUR (59.8%%);;
0120-2025;2025;2;2;UNBEKANNT;2;VERDACHT;FALL-011;;;Hengst Handwerk GmbH: 9582 EUR;;;;Bierau + Tandem (B=49 C=37);
0121-2023;2023;1;1;UNBEKANNT;0;;;;;MKG Der Dienstleister: 5545 EUR;;;;;
0122-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0122-2024;2024;1;1;UNBEKANNT;1;HYPOTHESE;FALL-014;;;;;;;;Caspari solo C=80 beteil=HOCH
0122-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0123-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0123-2024;2024;1;1;UNBEKANNT;0;;;;;TeamFaktor NW GmbH: 3377 EUR;;;;;
0123-2025;2025;2;2;POSITIV;0;;;Phase W: Diff 94.3%% (A=7892.0 R=453.0);;;;W-Phase: -7439.0 EUR (94.3%%);;;
0124-2024;2024;4;4;POSITIV;1;HYPOTHESE;OPERATIV;Phase W: Diff 61.1%% (A=3239.0 R=1261.0);;Hengst Handwerk GmbH: 1364 EUR;;W-Phase: -1979.0 EUR (61.1%%);;;Caspari solo C=50 beteil=HOCH
0124-2025;2025;2;2;POSITIV;4;VERDACHT;FALL-015|FALL-018;;;Gerd Zippel: 5950 EUR;;;;;Caspari solo C=100 beteil=HOCH
0125-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0125-2024;2024;4;5;POSITIV;0;;;Phase T: Diff 41.3%% (A=6855.0 R=4021.0);;Firma Bajramaj: 2387 EUR;;W-Phase: -5054.0 EUR (100.0%%);T-Phase: -2834.0 EUR (41.3%%);;Caspari solo C=100 beteil=HOCH
0125-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0126-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0126-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0127-2023;2023;0;0;POSITIV;0;;;;;;;;;;
0127-2025;2025;2;2;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;;;;;W-Phase: -14230.0 EUR (100.0%%);;Bierau + Tandem (B=18 C=7);
0128-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0128-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0128-2025;2025;1;1;POSITIV;2;VERDACHT;FALL-018;;;;;;;;Caspari solo C=90 beteil=HOCH
0129-2024;2024;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 11594 EUR;;;;;
0130-2024;2024;1;1;UNBEKANNT;0;;;Phase W: Diff 49.6%% (A=1421.0 R=717.0);;;;;;;
0130-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0131-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0131-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0133-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=70 beteil=HOCH
0133-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0134-2023;2023;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 11900 EUR;;;;;Caspari solo C=60 beteil=HOCH
0134-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0134-2025;2025;3;4;NEGATIV;0;;;Phase T: Diff 23.1%% (A=12126.0 R=9328.0);;Firma Bajramaj: 8054 EUR;;;T-Phase: -2798.0 EUR (23.1%%);;Caspari solo C=60 beteil=HOCH
0135-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 33.3%% (A=1262.0 R=842.0);;;;;;;
0135-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1482.0 EUR (100.0%%);;
0135-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0136-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0137-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0137-2024;2024;3;3;POSITIV;0;;;Phase W: Diff 93.1%% (A=11399.0 R=790.0);;;;W-Phase: -10609.0 EUR (93.1%%);;;Caspari solo C=50 beteil=HOCH
0138-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 5183 EUR;;;;;
0138-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=90 beteil=HOCH
0139-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -7913.0 EUR (100.0%%);;;
0139-2024;2024;1;1;UNBEKANNT;1;HYPOTHESE;FALL-014;;;;;;;;Caspari solo C=90 beteil=HOCH
0139-2025;2025;3;4;UNBEKANNT;0;;;Phase T: Diff 52.8%% (A=3222.0 R=1519.0);;N&N Bau GbR: 2643 EUR;;;T-Phase: -1703.0 EUR (52.8%%);;Caspari solo C=100 beteil=HOCH
0140-2023;2023;2;2;POSITIV;3;GESICHERT;FALL-015;;;MKG Der Dienstleister: 1846 EUR;;W-Phase: -5845.0 EUR (100.0%%);;;
0140-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0141-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0142-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0142-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0142-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0143-2023;2023;0;0;POSITIV;0;;;;;;;;;;
0143-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0143-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0144-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0144-2025;2025;0;1;UNBEKANNT;4;VERDACHT;FALL-011|UEBERGREIFEND;;;;;;T-Phase: -1317.0 EUR (100.0%%);;
0145-2023;2023;3;3;POSITIV;2;GESICHERT;FALL-015;;;MKG Der Dienstleister: 2481 EUR;;W-Phase: -2920.0 EUR (19.5%%);;;Caspari solo C=100 beteil=HOCH
0145-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0145-2025;2025;2;2;UNBEKANNT;0;;;;;Hengst Handwerk GmbH: 8215 EUR;;;;;Caspari solo C=100 beteil=HOCH
0146-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 35.9%% (A=2623.0 R=1681.0);;;;;;;
0147-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 22.4%% (A=1662.0 R=1290.0);;;;;;;
0147-2025;2025;2;2;POSITIV;4;GESICHERT;FALL-011;;;;;W-Phase: -8283.0 EUR (100.0%%);;Bierau + Tandem (B=21 C=16);
0148-2023;2023;3;3;POSITIV;0;;;Phase W: Diff 92.3%% (A=14635.0 R=1129.0);;Schreinerei Lothar Merte: 1221 EUR;;W-Phase: -13506.0 EUR (92.3%%);;;
0148-2024;2024;2;2;POSITIV;0;;;;;;;W-Phase: -5689.0 EUR (100.0%%);;Bierau + Tandem (B=30 C=60);
0148-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0150-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0150-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0151-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 35.4%% (A=1334.0 R=862.0);;;;;;;
0151-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 65.4%% (A=520.0 R=180.0);;;;;;Bierau + Tandem (B=8 C=18);
0151-2025;2025;1;1;POSITIV;0;;;;;;;W-Phase: -2791.0 EUR (100.0%%);;;
0152-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0152-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0153-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0153-2024;2024;2;2;POSITIV;1;HYPOTHESE;FALL-014;Phase W: Diff 69.9%% (A=6236.0 R=1876.0);;;;W-Phase: -4360.0 EUR (69.9%%);;;
0153-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0154-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0154-2024;2024;3;3;POSITIV;0;;;;;Firma Bajramaj: 3606 EUR;;W-Phase: -3215.0 EUR (100.0%%);;;Caspari solo C=90 beteil=HOCH
0154-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=70 beteil=HOCH
0155-2023;2023;1;1;UNBEKANNT;0;;;Phase W: Diff 33.9%% (A=2775.0 R=1836.0);;;;;;;
0155-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0155-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=5 C=12);
0156-2023;2023;1;1;POSITIV;1;HYPOTHESE;FALL-014;;;Hengst Handwerk GmbH: 15470 EUR;;;;;
0156-2024;2024;1;1;UNBEKANNT;1;GESICHERT;FALL-015;;;;;;;Bierau + Tandem (B=9 C=10);
0156-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0157-2024;2024;2;2;NEGATIV;0;;;Phase T: Diff 54.5%% (A=1100.0 R=500.0);;;;W-Phase: -1740.0 EUR (100.0%%);;;
0157-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0158-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 60.7%% (A=8916.0 R=3506.0);;;;;T-Phase: -5411.0 EUR (60.7%%);;
0159-2023;2023;1;1;POSITIV;2;VERDACHT;FALL-018;;;OZ Immobiliendienste GmbH: 3089 EUR;;;;;
0159-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=40 C=40);
0159-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0160-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 34.8%% (A=2802.0 R=1826.0);;;;;;;
0160-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0160-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0161-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0161-2024;2024;2;2;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1142 EUR;;;;;Caspari solo C=90 beteil=HOCH
0162-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 87.2%% (A=2134.0 R=274.0);;;;;T-Phase: -1860.0 EUR (87.2%%);;
0162-2024;2024;1;1;UNBEKANNT;1;HYPOTHESE;FALL-014;;;;;;;;Caspari solo C=50 beteil=HOCH
0162-2025;2025;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -1861.0 EUR (1.0%%);Bierau + Tandem (B=4 C=4);
0163-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0164-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 63.7%% (A=1947.0 R=706.0);;;;;T-Phase: -1241.0 EUR (63.7%%);;
0164-2024;2024;2;3;POSITIV;3;GESICHERT;FALL-011|FALL-014;;;RS Bau und Demontage Service: 8554 EUR;;;T-Phase: -2557.0 EUR (1.0%%);Bierau + Tandem (B=39 C=16);
0164-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0165-2024;2024;2;2;POSITIV;2;VERDACHT;FALL-018;;;Gerd Zippel: 17859 EUR;;;;;Caspari solo C=50 beteil=HOCH
0166-2023;2023;2;2;UNBEKANNT;4;GESICHERT|VERDACHT;FALL-011;;;Firma Bajramaj: 3324 EUR;;;;;Caspari solo C=60 beteil=HOCH
0166-2024;2024;2;2;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;;;;;W-Phase: -10016.0 EUR (100.0%%);;;Caspari solo C=50 beteil=HOCH
0166-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 25.2%% (A=3063.0 R=2290.0);;;;;;;
0167-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0167-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0167-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0168-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0168-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 77.4%% (A=857.0 R=194.0);;;;;;;
0169-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0169-2024;2024;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 3695 EUR;;;;;Caspari solo C=100 beteil=HOCH
0169-2025;2025;1;1;POSITIV;1;GESICHERT;FALL-017;;;N&N Bau GbR: 5320 EUR;;;;;
0170-2023;2023;1;2;POSITIV;2;GESICHERT;FALL-018;;;Gerd Zippel: 16660 EUR;;;T-Phase: -1003.0 EUR (12.5%%);;
0170-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0171-2023;2023;2;2;POSITIV;0;;;;;Alpaslan Trockenbau: 7500 EUR;;;;;Caspari solo C=70 beteil=HOCH
0171-2024;2024;1;1;POSITIV;2;GESICHERT;FALL-011;;;;;;;;Caspari solo C=50 beteil=HOCH
0171-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0172-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1911.0 EUR (100.0%%);;
0172-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0173-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 36.5%% (A=1135.0 R=721.0);;;;;;;
0173-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 39.4%% (A=1562.0 R=946.0);;;;;;Bierau + Tandem (B=7 C=10);
0174-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0174-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0175-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0175-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0175-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0176-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0176-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0176-2025;2025;1;2;UNBEKANNT;2;GESICHERT;FALL-014;;;;;;T-Phase: -2751.0 EUR (100.0%%);Bierau + Tandem (B=1 C=2);
0177-2023;2023;2;3;POSITIV;0;;;;;Firma Bajramaj: 8404 EUR;;;T-Phase: -1111.0 EUR (9.1%%);;Caspari solo C=70 beteil=HOCH
0177-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 2110 EUR;;;;;
0177-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -3000.0 EUR (1.0%%);;
0178-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 23.1%% (A=1384.0 R=1065.0);;;;;;;
0178-2024;2024;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -4065.0 EUR (100.0%%);;Caspari solo C=60 beteil=HOCH
0178-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0179-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0179-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0179-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1735.0 EUR (1.0%%);;
0180-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 92.1%% (A=1762.0 R=140.0);;;;;T-Phase: -1622.0 EUR (92.1%%);;
0180-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=70 beteil=HOCH
0180-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0181-2023;2023;3;3;UNBEKANNT;0;;;Phase W: Diff 36.6%% (A=2820.0 R=1788.0);;Hengst Malerwerkstätten GmbH: 1935 EUR;;W-Phase: -1031.0 EUR (36.6%%);;;
0181-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0182-2024;2024;1;1;UNBEKANNT;0;;;;;Öko-Bauzentrum Junker GmbH & Co. KG: 5359 EUR;;;;;
0182-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0183-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0184-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0184-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -3492.0 EUR (100.0%%);;
0185-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0185-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0186-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0186-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0186-2025;2025;2;2;NEGATIV;0;;;Phase W: Diff 46.0%% (A=2200.0 R=1188.0);;;;W-Phase: -1012.0 EUR (46.0%%);;;
0187-2024;2024;2;2;POSITIV;0;;;Phase W: Diff 64.8%% (A=689.0 R=242.0);;;;;;;Caspari solo C=60 beteil=HOCH
0187-2025;2025;3;3;POSITIV;0;;;Phase W: Diff 74.8%% (A=31405.0 R=7914.0);;Firma Bajramaj: 4406 EUR;;W-Phase: -23491.0 EUR (74.8%%);;;
0188-2023;2023;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 2230 EUR;;;;;
0189-2023;2023;1;1;UNBEKANNT;2;VERDACHT;FALL-015;;;Firma Bajramaj: 2697 EUR;;;;;
0189-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0189-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0190-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0190-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0191-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0191-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0191-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0192-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 85.3%% (A=1864.0 R=274.0);;;;;T-Phase: -1590.0 EUR (85.3%%);;
0192-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0192-2025;2025;1;1;UNBEKANNT;0;;;Phase L: Diff 31.7%% (A=619.0 R=423.0);;;;;;;
0193-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 86.3%% (A=3252.0 R=445.0);;;;;T-Phase: -2807.0 EUR (86.3%%);;
0193-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 84.0%% (A=7150.0 R=1141.0);;;;;T-Phase: -6009.0 EUR (84.0%%);Bierau + Tandem (B=10 C=70);
0193-2025;2025;0;0;NEGATIV;0;;;;;;;;;;
0194-2024;2024;3;4;POSITIV;0;;;Phase T: Diff 42.0%% (A=3026.0 R=1755.0);;;;W-Phase: -6949.0 EUR (100.0%%);T-Phase: -1271.0 EUR (42.0%%);Bierau + Tandem (B=32 C=39);
0194-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0195-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 42.8%% (A=1367.0 R=782.0);;;;;;;
0196-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0196-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0197-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0197-2024;2024;1;1;UNBEKANNT;5;GESICHERT|VERDACHT;FALL-011|FALL-018;;;Hofmann Bauservice: 4554 EUR;;;;;
0198-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0198-2025;2025;1;1;UNBEKANNT;0;;;;;Firma Bajramaj: 2610 EUR;;;;;
0199-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -3715.0 EUR (100.0%%);;;
0199-2024;2024;2;2;UNBEKANNT;0;;;;;Firma Bajramaj: 2328 EUR;;;;;Caspari solo C=60 beteil=HOCH
0200-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 90.1%% (A=1593.0 R=159.0);;;;;T-Phase: -1435.0 EUR (90.1%%);;
0200-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=9 C=15);
0201-2023;2023;3;4;UNBEKANNT;7;GESICHERT;FALL-014|FALL-015;Phase T: Diff 91.5%% (A=28762.0 R=2457.0);;RS Bau und Demontage Service: 24487 EUR;;;T-Phase: -26305.0 EUR (91.5%%);;Caspari solo C=60 beteil=HOCH
0201-2024;2024;2;2;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-011|FALL-014;;;Stephan Lowicki: 7476 EUR;;;;;Caspari solo C=100 beteil=HOCH
0201-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1030.0 EUR (100.0%%);;
0202-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0202-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 87.1%% (A=2344.0 R=303.0);;;;;T-Phase: -2041.0 EUR (87.1%%);;
0203-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 29.4%% (A=1923.0 R=1357.0);;;;;;;
0203-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 30.6%% (A=818.0 R=568.0);;;;;;;
0204-2023;2023;3;3;UNBEKANNT;2;GESICHERT;FALL-015;Phase T: Diff 26.1%% (A=1233.0 R=912.0);;MKG Der Dienstleister: 1030 EUR;;;;;Caspari solo C=50 beteil=HOCH
0204-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1803 EUR;;;;;
0205-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0205-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0206-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1010.0 EUR (100.0%%);;
0207-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0208-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -4833.0 EUR (100.0%%);;;
0208-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0209-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0209-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -2641.0 EUR (100.0%%);;
0209-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0210-2023;2023;2;2;UNBEKANNT;0;;;Phase T: Diff 25.7%% (A=735.0 R=546.0);;MKG Der Dienstleister: 4127 EUR;;;;;
0210-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 76.2%% (A=1111.0 R=264.0);;;;;;Bierau + Tandem (B=14 C=7);
0211-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1830.0 EUR (100.0%%);;
0211-2024;2024;1;1;UNBEKANNT;0;;;Phase W: Diff 24.7%% (A=1219.0 R=918.0);;;;;;;
0211-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -18267.0 EUR (100.0%%);;
0212-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0212-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0213-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0213-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1455.0 EUR (100.0%%);;
0214-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0214-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0214-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -4764.0 EUR (100.0%%);;
0215-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 72.1%% (A=1755.0 R=490.0);;;;;T-Phase: -1265.0 EUR (72.1%%);;Caspari solo C=50 beteil=HOCH
0216-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0216-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0217-2023;2023;2;3;UNBEKANNT;2;GESICHERT;FALL-015;Phase T: Diff 70.4%% (A=3159.0 R=936.0);;MKG Der Dienstleister: 4165 EUR;;;T-Phase: -2223.0 EUR (70.4%%);;
0217-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0217-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0218-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0219-2024;2024;2;3;POSITIV;9;GESICHERT|HYPOTHESE|VERDACHT;FALL-011;;;;;W-Phase: -43784.0 EUR (100.0%%);T-Phase: -6366.0 EUR (100.0%%);Bierau + Tandem (B=23 C=21);
0219-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0220-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1413.0 EUR (100.0%%);;
0220-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1399.0 EUR (100.0%%);;
0220-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0221-2023;2023;1;1;UNBEKANNT;0;;;;;Nils Löser Haustechnik: 1022 EUR;;;;;
0221-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0221-2025;2025;0;0;NEGATIV;0;;;;;;;;;;
0222-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 83.4%% (A=4222.0 R=700.0);;;;;T-Phase: -3522.0 EUR (83.4%%);;Caspari solo C=70 beteil=HOCH
