projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0024-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=10 C=4);
0025-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0026-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0026-2024;2024;3;4;POSITIV;0;;;Phase W: Diff 95.0%% (A=3886.0 R=193.0);;;;W-Phase: -3694.0 EUR (95.0%%);T-Phase: -5503.0 EUR (96.7%%);Bierau + Tandem (B=27 C=13);
0026-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0027-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0027-2024;2024;1;1;POSITIV;0;;;;;N&N Bau GbR: 8000 EUR;;;;;
0027-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=6 C=4);
0028-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0029-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 1073 EUR;;;;;
0029-2024;2024;2;2;UNBEKANNT;0;;;;;N&N Bau GbR: 5633 EUR;;;;;Caspari solo C=100 beteil=HOCH
0029-2025;2025;2;2;UNBEKANNT;0;;;;;;Fliesen Schmidt: 10072.0 EUR bei 0.0%% Prov;;;Bierau + Tandem (B=9 C=21);
0030-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0030-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0030-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 80.4%% (A=1710.0 R=335.0);;;;;T-Phase: -1375.0 EUR (80.4%%);;
0031-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0031-2024;2024;3;3;POSITIV;3;GESICHERT|VERDACHT;FALL-011|FALL-014;;;RS Bau und Demontage Service: 3178 EUR;;W-Phase: -4318.0 EUR (100.0%%);;Bierau + Tandem (B=36 C=74);
0031-2025;2025;2;2;UNBEKANNT;0;;;Phase T: Diff 41.0%% (A=1411.0 R=832.0);;;;;;;Caspari solo C=50 beteil=HOCH
0032-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0032-2024;2024;2;2;POSITIV;2;GESICHERT;FALL-017;;;N&N Bau GbR: 11603 EUR;;;;Bierau + Tandem (B=20 C=70);
0032-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0034-2024;2024;1;1;UNBEKANNT;0;;;;;N&N Bau GbR: 1878 EUR;;;;;
0034-2025;2025;4;4;POSITIV;1;HYPOTHESE;FALL-014;;N&N Bau GbR: 6455.75 EUR x2;N&N Bau GbR: 6456 EUR;;W-Phase: -2674.0 EUR (18.3%%);;Bierau + Tandem (B=55 C=49);
0035-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0035-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 66.5%% (A=1630.0 R=546.0);;;;;T-Phase: -1084.0 EUR (66.5%%);;
0036-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1967 EUR;;;;;
0036-2025;2025;2;2;POSITIV;26;GESICHERT|HYPOTHESE|VERDACHT;FALL-014;;;RS Bau und Demontage Service: 4462 EUR;;;;Bierau + Tandem (B=111 C=175);
0037-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0037-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 59.6%% (A=1313.0 R=530.0);;;;;;;
0037-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0038-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0038-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=6 C=1);
0039-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0039-2025;2025;2;2;POSITIV;0;;;;;;;W-Phase: -4555.0 EUR (1.0%%);;Bierau + Tandem (B=7 C=16);
0040-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0040-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0040-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0041-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0042-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 12364 EUR;;;;;
0042-2024;2024;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 2695 EUR;;;;;Caspari solo C=60 beteil=HOCH
0043-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0043-2024;2024;1;2;UNBEKANNT;0;;;Phase T: Diff 46.8%% (A=2640.0 R=1404.0);;;;;T-Phase: -1236.0 EUR (46.8%%);;
0045-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0045-2025;2025;3;3;POSITIV;0;;;Phase W: Diff 97.1%% (A=6787.0 R=200.0);;;;W-Phase: -6587.0 EUR (97.1%%);;Bierau + Tandem (B=61 C=19);
0046-2023;2023;0;0;POSITIV;2;VERDACHT;FALL-018;;;;;;;;
0046-2024;2024;2;2;UNBEKANNT;0;;;Phase L: Diff 37.2%% (A=2164.0 R=1358.0);;;;;;Bierau + Tandem (B=14 C=26);
0046-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0047-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 37.0%% (A=1951.0 R=1228.0);;;;;;;
0047-2024;2024;4;4;POSITIV;1;GESICHERT;FALL-014;Phase W: Diff 99.6%% (A=34339.0 R=132.0);;RS Bau und Demontage Service: 3550 EUR;;W-Phase: -34207.0 EUR (99.6%%);;Bierau + Tandem (B=21 C=27);
0047-2025;2025;2;2;POSITIV;0;;;;;;;W-Phase: -24424.0 EUR (100.0%%);;Bierau + Tandem (B=6 C=1);
0048-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0048-2024;2024;1;1;UNBEKANNT;0;;;;;N&N Bau GbR: 2592 EUR;;;;;
0050-2025;2025;2;2;UNBEKANNT;0;;;Phase S: Diff 24.1%% (A=3449.0 R=2616.0);;;;;;Bierau + Tandem (B=30 C=23);
0051-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0051-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 89.4%% (A=2582.0 R=274.0);;;;;T-Phase: -2308.0 EUR (89.4%%);Bierau + Tandem (B=30 C=40);
0051-2025;2025;1;1;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 16604 EUR;;;;;
0052-2023;2023;1;1;POSITIV;2;VERDACHT;FALL-018;;;Gerd Zippel: 8330 EUR;;;;;
0052-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0053-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0053-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0053-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=12 C=16);
0054-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 20.2%% (A=1817.0 R=1450.0);;;;;;;
0055-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0055-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0055-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0056-2023;2023;1;1;UNBEKANNT;0;;;;;MKG Der Dienstleister: 6233 EUR;;;;;
0056-2024;2024;2;3;POSITIV;1;GESICHERT;FALL-014;Phase W: Diff 96.9%% (A=3520.0 R=110.0);;;;W-Phase: -3410.0 EUR (96.9%%);T-Phase: -6841.0 EUR (65.5%%);;
0056-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 58.7%% (A=1747.0 R=721.0);;;;;T-Phase: -1026.0 EUR (58.7%%);;
0057-2023;2023;0;0;POSITIV;0;;;;;;;;;;
0057-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0058-2025;2025;3;3;POSITIV;0;;;Phase L: Diff 60.6%% (A=1039.0 R=409.0);;;;W-Phase: -3378.0 EUR (100.0%%);;Bierau + Tandem (B=14 C=10);
0059-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0059-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0060-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0060-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0060-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0061-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0061-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0061-2025;2025;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 1276 EUR;;;;;Caspari solo C=60 beteil=HOCH
0062-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0062-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0062-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0063-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0063-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 52.2%% (A=1306.0 R=625.0);;;;;;;
0064-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0064-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1355.0 EUR (100.0%%);;
0065-2023;2023;1;1;UNBEKANNT;0;;;;;Firma Bajramaj: 3121 EUR;;;;;
0065-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0066-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 21.9%% (A=1246.0 R=974.0);;;;;;;
0066-2025;2025;2;2;UNBEKANNT;0;;;Phase T: Diff 34.3%% (A=1626.0 R=1068.0);;N&N Bau GbR: 6017 EUR;;;;;
0067-2024;2024;3;3;POSITIV;0;;;Phase T: Diff 37.2%% (A=742.0 R=466.0);;;;W-Phase: -6937.0 EUR (100.0%%);;Bierau + Tandem (B=38 C=20);
0067-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0068-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 2504 EUR;;;;;
